Candidate Name,Citizenship,Degree(s) Attained,Ethnicity,Gender,Languages,Position Type,Position Level,Professional Association,Religion,Experience,Position Start Year,School,City,County,Country,State,US Region,Grade Level
Donald Mcintosh,Falkland Islands (Malvinas),Ed.D.,White,Female,"French, French, Mandarin",Academic Dean,Junior,"NACAC, ACSD",Christian,25 years,2003,"Randall, Williams and Fletcher School",Randyburgh,Port John County,Seychelles,Rhode Island,South,K-12
Rebecca Valencia,Oman,B.A.,White,Non-binary,"Hindi, Spanish, German",HR Manager,Junior,"ACSD, NAIS",Muslim,6 years,1982,Ortega Ltd School,Port Ryan,Lake Katietown County,Belize,South Carolina,West,K-12
Kristine Evans,United States Minor Outlying Islands,Ed.D.,White,Female,Spanish,Learning Director,Junior,ACSD,Christian,6 years,1987,"Huang, Sullivan and Flowers School",East Alexhaven,Lake Justinborough County,Botswana,Alaska,South,K-12
Victor Diaz,Nepal,B.A.,White,Female,German,Athletic Director,Mid,NACAC,Hindu,24 years,2001,Mann-Lopez School,Lake Madeline,Greerborough County,Yemen,Alaska,Midwest,Elementary
Jessica Thompson,Cook Islands,MBA,Native American,Male,"Mandarin, Hindi",Learning Director,Junior,ACSD,Other,22 years,1988,"Ellison, Valenzuela and Oliver School",South Johnberg,North Connieborough County,Cocos (Keeling) Islands,Oregon,Midwest,Middle
Madison Barrett,Guyana,B.A.,Native American,Non-binary,"Hindi, Spanish",Principal,Junior,"NAIS, ASCD",Other,15 years,2001,"Lopez, Jordan and Aguilar School",Watersborough,Woodstad County,Tajikistan,Delaware,South,High
Patrick Kaufman,India,Ed.D.,Asian,Female,Hindi,Learning Director,Mid,ACSD,Muslim,15 years,1981,"Baxter, Price and Johnson School",Taylorview,Port Matthewborough County,Antigua and Barbuda,Montana,Northeast,K-12
Gordon Robertson,Bouvet Island (Bouvetoya),B.S.,White,Female,"Spanish, Hindi",Principal,Mid,ACSD,Christian,29 years,2013,Conway-Carroll School,Suarezville,Williamshire County,Japan,Oklahoma,Northeast,Middle
Kristen Meza,Belarus,B.S.,Native American,Male,Arabic,Athletic Director,Senior,"ACSD, ASCD",Jewish,3 years,2005,Davis LLC School,Andrewchester,West Cynthiaton County,Syrian Arab Republic,Ohio,South,Elementary
Kimberly Schmidt,Bermuda,M.S.,Black,Female,"German, Spanish",Athletic Director,Mid,"NAIS, ASCD",Other,21 years,2012,Parks Inc School,South Charles,Scottshire County,Benin,Connecticut,South,K-12
Mr. Curtis Cameron,Italy,B.S.,Hispanic,Male,Spanish,HR Manager,Mid,NAIS,Jewish,16 years,2025,Valenzuela-Lloyd School,North Nancy,Jenniferfort County,Lebanon,Washington,West,Elementary
Paul Graves,Saint Lucia,M.S.,Black,Female,"German, English",Athletic Director,Mid,ASCD,Hindu,13 years,1990,Goodwin-Garrett School,Perryhaven,New Tracy County,Holy See (Vatican City State),Missouri,West,Middle
Beverly Mercer,Nigeria,M.A.,Asian,Female,"Arabic, English, French",Principal,Senior,NACAC,Other,24 years,1984,"Morse, Hoffman and Grimes School",Diaztown,East Frankbury County,Ethiopia,Missouri,South,Elementary
Jacqueline Stewart,Antigua and Barbuda,Ph.D.,Hispanic,Male,"German, Hindi",Principal,Junior,"NACAC, ASCD",Hindu,1 years,1988,"Ford, Lee and Green School",Andreaville,Troyberg County,Equatorial Guinea,Missouri,West,Elementary
Kerry Pearson,San Marino,B.A.,Black,Non-binary,"Mandarin, French, German",Learning Director,Mid,"ASCD, ACSD",Hindu,22 years,2012,"Richard, Jenkins and Butler School",Lake Shariborough,New Christinefurt County,Saint Kitts and Nevis,Oregon,Northeast,High
Jeremy Ross,Palestinian Territory,M.A.,Native American,Male,"German, Hindi",HR Manager,Junior,"ACSD, NAIS",Other,10 years,2005,Miller and Sons School,Sarastad,South Aaron County,Hong Kong,Oklahoma,Northeast,Elementary
James Pena,Georgia,M.S.,Other,Female,"French, French, German",HR Manager,Junior,NAIS,Hindu,26 years,2002,"Holmes, Warren and Brown School",Villanuevamouth,Port James County,Latvia,North Dakota,West,K-12
James Castillo,French Guiana,B.S.,Black,Female,"English, Hindi",Learning Director,Mid,"NACAC, ASCD",Hindu,8 years,1995,Pittman Ltd School,Port Alexischester,East Nicholashaven County,Latvia,Ohio,Midwest,Middle
Amy Romero,Mexico,Ph.D.,Native American,Non-binary,French,Principal,Senior,NACAC,Hindu,18 years,2001,Johnson Inc School,West Joseph,West Ericborough County,Liechtenstein,Minnesota,Northeast,Elementary
Joshua Clark,Brazil,M.S.,Native American,Non-binary,English,Learning Director,Mid,"ACSD, NACAC",Muslim,23 years,2016,Fisher PLC School,Leeview,Lake Patriciachester County,French Polynesia,Wisconsin,Midwest,High
James Fisher,Lao People's Democratic Republic,M.S.,Black,Female,"Mandarin, Hindi, French",Principal,Mid,"NACAC, NAIS",Muslim,14 years,2018,Ramirez-Mason School,Hernandezburgh,North Richardbury County,Slovenia,Alabama,South,High
Rhonda Odom,Rwanda,Ed.D.,Hispanic,Non-binary,"German, German",Academic Dean,Mid,NAIS,Muslim,20 years,2011,Villa-Flores School,Collinsview,East Rebecca County,Gabon,Montana,Midwest,K-12
Luis Weaver,Lebanon,M.A.,Asian,Male,"Spanish, French",Athletic Director,Junior,"NAIS, ACSD",Christian,1 years,1999,Daniel-Jimenez School,Port Luke,Monicatown County,Armenia,Nebraska,South,K-12
Claire Rodriguez,Bahamas,B.S.,Asian,Non-binary,"English, English, German",Principal,Junior,ACSD,Jewish,16 years,2010,Johnson Inc School,South Jonathanhaven,Cartertown County,Guam,South Carolina,South,Elementary
Benjamin Bartlett,Palau,M.S.,Asian,Non-binary,Mandarin,Learning Director,Junior,ACSD,Muslim,24 years,2012,Salas-Turner School,New Dale,Sheltonborough County,Mayotte,Maine,West,High
Kelly Hodges,Albania,Ph.D.,Other,Female,"Arabic, French",Learning Director,Senior,"NACAC, ASCD",Muslim,12 years,1994,"Moreno, Jackson and Glenn School",West Hannahton,East Mariahmouth County,Moldova,Rhode Island,Midwest,K-12
Jill Schultz,Reunion,B.A.,Black,Male,"Arabic, Mandarin",HR Manager,Senior,NACAC,Hindu,20 years,2023,Larson-Johnson School,Damonhaven,Johnsonfurt County,Korea,Colorado,West,Middle
Alexis Wong,Netherlands Antilles,M.S.,Native American,Non-binary,"German, German",Learning Director,Mid,ACSD,Other,19 years,1997,Gonzalez Group School,Port Karenside,West Mark County,Yemen,Massachusetts,Northeast,Middle
Robert Stout,Tokelau,B.S.,Hispanic,Male,Hindi,Athletic Director,Senior,ASCD,Muslim,19 years,1986,"Cook, Martinez and Ramos School",Joannefurt,Port Brianshire County,Georgia,Mississippi,South,High
Linda Butler,Georgia,Ed.D.,White,Female,"French, Mandarin, German",HR Manager,Junior,"NACAC, NAIS",Muslim,10 years,1985,Fry-Case School,Kleinton,Taylorport County,Malawi,Kentucky,West,K-12
Sandra Murphy,Tuvalu,M.S.,Black,Female,"Hindi, English, German",Athletic Director,Senior,"ACSD, NACAC",Other,4 years,1993,Young LLC School,Reginaview,Silvafurt County,Dominican Republic,Wyoming,Northeast,Elementary
Donna Sanford,Sudan,Ph.D.,Native American,Female,"French, Arabic, English",HR Manager,Mid,"ACSD, ASCD",Other,7 years,2021,"Walker, Nelson and Smith School",Moorefort,Davidfurt County,Lebanon,South Carolina,Midwest,High
Kelly Williams,Saint Helena,Ph.D.,Native American,Female,Arabic,Principal,Senior,NACAC,Other,8 years,1996,Lloyd and Sons School,Tamaratown,Kevinmouth County,Philippines,Massachusetts,Northeast,Middle
Carla Smith MD,Qatar,MBA,White,Female,"Mandarin, Hindi, Arabic",Learning Director,Senior,ASCD,Muslim,27 years,1991,"Gonzalez, Rodriguez and Lopez School",North Susanville,Port Katherineport County,Montserrat,Rhode Island,South,High
Tracy Young,Kazakhstan,B.S.,Black,Male,"Spanish, Arabic, Spanish",HR Manager,Senior,ASCD,Hindu,3 years,2021,Fernandez-Hall School,Brianmouth,Lake Brandyburgh County,Tonga,South Carolina,South,Elementary
Colin Taylor Jr.,Svalbard & Jan Mayen Islands,B.A.,Native American,Male,Spanish,Learning Director,Senior,"NAIS, NACAC",Hindu,30 years,1980,Garcia-Scott School,South Luisport,Johnmouth County,Austria,Missouri,Northeast,Elementary
Mary Wilkins,Tonga,M.A.,Black,Male,Spanish,Athletic Director,Junior,NAIS,Jewish,5 years,2006,Morrison Group School,West Stacieland,Jonesstad County,Taiwan,New Hampshire,Midwest,Elementary
Michael Tran,American Samoa,Ph.D.,Black,Female,"French, Hindi",Learning Director,Senior,"NAIS, ASCD",Christian,16 years,2007,"Rodriguez, Clarke and Richardson School",North Don,New Julia County,Mauritius,Washington,Northeast,High
Kristy Manning,Slovakia (Slovak Republic),M.S.,Native American,Male,English,Principal,Mid,NAIS,Jewish,8 years,1991,"Williams, Reed and Knox School",Marystad,Jasonberg County,Botswana,Arkansas,Northeast,Middle
Matthew Murillo,Netherlands,Ph.D.,Hispanic,Female,"Spanish, French, Spanish",Learning Director,Senior,"NACAC, ACSD",Christian,29 years,2000,Reyes Ltd School,North Kelli,Stephenfort County,France,Tennessee,South,K-12
Edwin Fernandez,Denmark,M.S.,White,Female,"French, Mandarin",Learning Director,Senior,NACAC,Other,19 years,2020,"Aguilar, Woods and Bradshaw School",West Annemouth,Lake Darrellberg County,Sudan,Washington,West,High
Samantha Liu,Uruguay,M.S.,Black,Non-binary,German,Principal,Mid,"ACSD, NAIS",Other,10 years,2016,Sanders-Berg School,West Melissaville,Lake Megan County,Iceland,Oklahoma,South,K-12
Angela Richardson,Guinea-Bissau,M.A.,Black,Non-binary,"Mandarin, Hindi",Athletic Director,Junior,ACSD,Muslim,10 years,1991,Scott-Glenn School,Lake Amanda,Lake Sandra County,Oman,Montana,West,Middle
Manuel Vargas,Jersey,M.A.,Other,Female,"Mandarin, German, Mandarin",Athletic Director,Mid,NACAC,Muslim,14 years,1997,"Brown, Baker and Reed School",New Andrew,Lake Angelafort County,Mayotte,Massachusetts,South,High
Joe Rodriguez,French Guiana,Ph.D.,Other,Male,"Spanish, German, German",Academic Dean,Junior,"ACSD, ASCD",Jewish,20 years,2009,"Anderson, Fisher and May School",North Sharonberg,East Justin County,Australia,Nebraska,South,High
Stephanie Estes,Mali,B.S.,Native American,Male,"Spanish, German, English",Learning Director,Senior,ACSD,Muslim,1 years,2014,"Williams, Smith and Bowen School",Lake Curtis,Smithchester County,Azerbaijan,Florida,West,K-12
Leslie Pratt,Bahrain,Ed.D.,White,Male,Spanish,HR Manager,Junior,"ASCD, ACSD",Hindu,4 years,1993,White Ltd School,Watersview,New Michaelhaven County,Rwanda,North Dakota,South,Elementary
Mary Poole,Falkland Islands (Malvinas),B.A.,Other,Female,Hindi,Academic Dean,Mid,ASCD,Muslim,19 years,2019,"Snow, Thompson and Cooke School",New James,South Teresaville County,Rwanda,Arkansas,Northeast,K-12
Jill Williams,Reunion,M.A.,Asian,Female,Arabic,Principal,Mid,"NAIS, NACAC",Hindu,5 years,1990,Davis-Sweeney School,New Steven,New Christinashire County,Macao,Maine,South,Elementary
Danielle Smith,Grenada,MBA,Other,Male,"Hindi, German, Arabic",HR Manager,Mid,"ASCD, NAIS",Jewish,20 years,2010,Jones-Jones School,Christopherview,Nelsonchester County,Bosnia and Herzegovina,Iowa,West,Middle
Seth Rogers,Burkina Faso,Ed.D.,Asian,Female,"Hindi, Arabic, Hindi",Athletic Director,Senior,NAIS,Other,11 years,2011,"Davis, Cooke and Arnold School",Lake Grantshire,Antoniofort County,Zimbabwe,Kentucky,Northeast,Middle
Mathew Clark,Bhutan,B.A.,Other,Male,French,Academic Dean,Mid,"NAIS, NACAC",Jewish,19 years,1983,Mejia-Sanchez School,Port Margaretville,West Jesse County,Eritrea,Wyoming,Midwest,Middle
Carol Bullock,Heard Island and McDonald Islands,Ed.D.,Asian,Male,"Mandarin, Spanish, German",Principal,Mid,ASCD,Other,5 years,1982,Wilson Inc School,New Craig,Smithfort County,Brunei Darussalam,Montana,Northeast,Elementary
James Montgomery,Bermuda,MBA,Hispanic,Male,"Mandarin, Spanish",HR Manager,Junior,"NACAC, ASCD",Christian,7 years,1996,Ruiz-Ramsey School,Lake Justin,Doylechester County,Papua New Guinea,Oregon,West,High
Matthew Ramirez,Anguilla,B.S.,White,Female,"English, Mandarin, Hindi",Learning Director,Mid,"NACAC, NAIS",Other,13 years,2010,Huynh Inc School,Allisonfort,Lake Ashley County,Tonga,Massachusetts,Northeast,High
Rita Collins,French Guiana,B.S.,Native American,Male,Spanish,Athletic Director,Junior,NACAC,Muslim,13 years,2008,Johnson-Moore School,North Danielton,Meganfurt County,Montserrat,Wyoming,West,Elementary
Christopher Herrera,Kenya,B.A.,Hispanic,Female,"Mandarin, Spanish",Learning Director,Mid,"NAIS, NACAC",Christian,7 years,1987,"Morales, Herrera and Lawrence School",West Richard,Ayerschester County,Guernsey,West Virginia,South,Middle
Louis Moore,Solomon Islands,Ed.D.,Black,Non-binary,Spanish,Learning Director,Junior,ASCD,Other,8 years,1984,Gonzalez-Evans School,East Craig,West Jim County,Liberia,Vermont,South,Elementary
Sharon Rogers MD,Botswana,B.A.,Other,Female,"English, German",Principal,Senior,ASCD,Jewish,28 years,2003,Valencia Group School,Lake Kayla,Edwintown County,Netherlands,South Dakota,West,High
Benjamin Peters,Falkland Islands (Malvinas),M.A.,Other,Male,"German, German, Mandarin",HR Manager,Senior,"ACSD, NACAC",Hindu,3 years,1996,"Curtis, Cain and Pugh School",Johnsville,Aliciaport County,United Arab Emirates,Idaho,South,High
Kenneth Watkins,France,M.S.,Asian,Male,"Arabic, Arabic, Mandarin",Principal,Mid,"NACAC, NAIS",Hindu,3 years,1987,Lane and Sons School,East Jeffreyhaven,Peggyfurt County,Svalbard & Jan Mayen Islands,Alabama,South,K-12
Jerry Williams,Guadeloupe,Ed.D.,Native American,Male,German,Academic Dean,Mid,"ACSD, ASCD",Other,2 years,1989,Garcia and Sons School,East Lisa,West Lisaland County,Congo,Mississippi,South,Middle
Kelly Davis,Guyana,Ph.D.,Other,Non-binary,"French, Hindi, English",Academic Dean,Junior,"ASCD, NACAC",Hindu,29 years,2023,Ross Group School,Lake Justinfort,Andrewhaven County,Comoros,Missouri,Northeast,Elementary
Jessica Garcia,Burundi,M.S.,Hispanic,Male,"Spanish, English, Mandarin",Learning Director,Senior,NACAC,Jewish,30 years,1980,"Mooney, Smith and Rodriguez School",Patrickland,East Marcus County,Mauritania,Illinois,South,Elementary
Pamela Turner,American Samoa,M.S.,Other,Male,"German, Hindi, Mandarin",Academic Dean,Mid,ASCD,Hindu,23 years,1980,Joseph-Rojas School,Smithmouth,South Gregoryton County,Nicaragua,Connecticut,South,K-12
Christopher Deleon,Somalia,M.A.,Hispanic,Female,English,Academic Dean,Mid,NACAC,Hindu,14 years,1986,"Simpson, Green and Miller School",New Kellyland,Owenberg County,Cook Islands,Maine,Northeast,Elementary
Kaitlyn Kelly,Cameroon,M.A.,White,Female,German,Learning Director,Junior,"NACAC, NAIS",Jewish,13 years,1981,Rivera PLC School,Port Katherineburgh,Port Brookehaven County,Tokelau,Alaska,Midwest,K-12
Molly Ponce,US,M.A.,Other,Female,Mandarin,Academic Dean,Senior,"ACSD, NACAC",Jewish,29 years,1993,Shaw-Sanders School,Port Darren,Jeremyshire County,Romania,Kentucky,Northeast,Elementary
Sheila Petersen,Dominica,Ph.D.,Hispanic,Non-binary,"Spanish, Hindi",Principal,Senior,NAIS,Muslim,13 years,2022,Prince-Webster School,Markshire,Hamiltonberg County,Svalbard & Jan Mayen Islands,Indiana,Midwest,High
Mrs. Maria Lewis,Saint Vincent and the Grenadines,Ph.D.,White,Male,"Hindi, German, Hindi",Athletic Director,Mid,"NAIS, ACSD",Christian,11 years,1998,Taylor Group School,Lake Dennisfurt,Brandybury County,Russian Federation,Rhode Island,West,High
Raymond Rogers,Svalbard & Jan Mayen Islands,Ph.D.,White,Female,Mandarin,Academic Dean,Senior,"NACAC, ACSD",Other,11 years,1987,Moore-Lane School,Georgeberg,West Karen County,Palau,Kansas,Midwest,K-12
Alyssa Le,Belarus,Ph.D.,White,Non-binary,"Mandarin, Hindi, Arabic",Principal,Junior,"NAIS, ASCD",Jewish,4 years,2003,Jordan LLC School,Lake Taylorchester,Port Benjamin County,Denmark,Indiana,West,K-12
Judy Vang,Finland,M.S.,White,Male,"French, Mandarin, Arabic",Principal,Senior,"ASCD, NAIS",Hindu,5 years,2017,Butler-Davis School,Owensbury,South Ashleyberg County,Bahamas,Kentucky,South,Elementary
William Martinez,Latvia,Ed.D.,Black,Female,"English, Arabic, Mandarin",Athletic Director,Junior,"NAIS, NACAC",Jewish,4 years,2016,"Shannon, Arnold and Cole School",Elizabethland,New Gerald County,Pitcairn Islands,Alabama,South,K-12
William Taylor,Iraq,Ed.D.,Hispanic,Male,"Spanish, English",Learning Director,Mid,ACSD,Christian,1 years,1990,Gibson Ltd School,Alexanderborough,West Georgestad County,Barbados,Alaska,South,Elementary
Kyle Martinez,Portugal,M.A.,White,Male,Mandarin,HR Manager,Junior,NAIS,Hindu,17 years,1986,Fletcher-Cruz School,Port Jennyshire,Nguyenfurt County,Ethiopia,Nevada,West,Middle
Taylor Mcmillan,Hungary,Ph.D.,Other,Female,"Hindi, German",Principal,Junior,ASCD,Other,17 years,2023,Taylor Ltd School,Wrightville,Barrettport County,Spain,Ohio,West,K-12
Karen Calhoun,Brazil,M.A.,Asian,Male,"Spanish, French, Spanish",Learning Director,Mid,"NAIS, ACSD",Muslim,5 years,2011,Waller PLC School,Santanaview,Mckeetown County,Azerbaijan,Ohio,Midwest,K-12
Jay Armstrong,Swaziland,B.A.,Other,Female,"Mandarin, German",Principal,Senior,ASCD,Other,19 years,2001,Jackson-Wright School,New Racheltown,Johnburgh County,Uzbekistan,South Carolina,Midwest,K-12
Monica Miles,Netherlands Antilles,B.A.,White,Non-binary,German,Principal,Junior,"NACAC, ASCD",Christian,12 years,2002,Finley-Stone School,East Savannah,Pughhaven County,Kuwait,West Virginia,West,Elementary
Andrew Powell,Kuwait,Ed.D.,Other,Female,German,Athletic Director,Junior,ACSD,Hindu,10 years,1986,"Hall, Clarke and Lewis School",Longbury,Lake Brandonbury County,Vietnam,Oregon,West,Middle
Julie Savage,Kazakhstan,B.A.,Other,Male,"French, Spanish",Academic Dean,Senior,"ACSD, ASCD",Jewish,16 years,1999,Bond-Hall School,East Stephenbury,Alexandrabury County,Saint Vincent and the Grenadines,Georgia,Northeast,Elementary
Darin Gordon,Bahamas,MBA,Black,Female,"Hindi, German, German",HR Manager,Mid,ASCD,Muslim,8 years,1986,"Wilson, Palmer and Foley School",East Brianview,Markchester County,Guadeloupe,Arizona,West,K-12
Erin Livingston,Bangladesh,MBA,Asian,Female,"Spanish, German",Athletic Director,Senior,"NACAC, ASCD",Christian,15 years,2010,"Brady, Perez and Mccall School",West Mariaberg,Carterview County,Saudi Arabia,South Dakota,West,Elementary
Anthony Mccarty,Austria,MBA,White,Female,Hindi,HR Manager,Junior,ASCD,Muslim,30 years,2006,Salinas Group School,Shannonbury,Garrettside County,Tajikistan,Massachusetts,Midwest,K-12
Timothy Bradford,Liechtenstein,B.S.,Black,Male,"Arabic, Arabic",Academic Dean,Senior,ACSD,Jewish,29 years,2008,"Donaldson, Berry and Jones School",South Joseph,Gonzalezstad County,Reunion,North Dakota,Midwest,High
Zachary Ramos II,San Marino,M.A.,White,Female,"German, Arabic, Arabic",Athletic Director,Mid,"NAIS, NACAC",Muslim,12 years,2009,Bowen-Ware School,Vincentberg,Loweryland County,Uganda,Rhode Island,South,Middle
Theresa Johnson,Norway,M.A.,Asian,Non-binary,French,Academic Dean,Junior,"ASCD, NACAC",Christian,12 years,2010,"Rios, Suarez and Gonzalez School",West Erin,North Jamiemouth County,Nauru,New York,South,Middle
Christopher Lloyd,Martinique,M.A.,Black,Female,English,Principal,Senior,"NACAC, ASCD",Christian,1 years,1988,"Smith, Webster and Harris School",Lake Jasmineville,Port Paigeton County,San Marino,North Dakota,Midwest,Elementary
Juan Smith,Cayman Islands,M.S.,Hispanic,Male,"Spanish, Arabic, French",Principal,Mid,"NACAC, ASCD",Christian,8 years,1995,"Nelson, Pennington and Hicks School",West Carrieville,West Rachel County,Montserrat,Tennessee,West,High
Anthony Hernandez,France,M.S.,Black,Male,Hindi,Learning Director,Mid,"ASCD, ACSD",Hindu,3 years,2012,Lopez-Barker School,Lake Tammy,Reynoldshaven County,Turks and Caicos Islands,Idaho,West,High
Mrs. Katherine White,Bermuda,Ed.D.,Black,Male,"Arabic, Arabic",Academic Dean,Junior,"NACAC, NAIS",Other,17 years,2009,"Johnson, Duncan and Lopez School",Currymouth,Port Stephanie County,Dominica,Oregon,West,Elementary
Jennifer Richard,United Kingdom,Ed.D.,Asian,Male,"German, Arabic, French",Learning Director,Senior,"ACSD, ASCD",Other,17 years,1992,"West, Sutton and Smith School",Codytown,Campbellland County,Monaco,Louisiana,South,K-12
Anna Pruitt,Comoros,Ph.D.,Asian,Non-binary,"Hindi, Mandarin",Principal,Mid,"NAIS, NACAC",Muslim,17 years,2017,Gomez LLC School,Smithmouth,Rodgersberg County,Uzbekistan,West Virginia,South,K-12
Brandon Johnson,Norfolk Island,M.S.,Asian,Female,Arabic,Academic Dean,Mid,NAIS,Jewish,5 years,1992,"Preston, Krause and Cunningham School",East Derek,Allisonhaven County,Antarctica (the territory South of 60 deg S),South Carolina,Midwest,Elementary
Raymond Elliott,Niue,B.A.,Hispanic,Non-binary,"Arabic, French",Learning Director,Mid,ACSD,Hindu,4 years,2025,"Clements, Saunders and Hernandez School",West Jacobtown,Port Christina County,Suriname,New Mexico,West,Elementary
Sarah Edwards,Moldova,B.S.,Native American,Non-binary,"Hindi, Arabic",HR Manager,Mid,"NACAC, NAIS",Other,15 years,1990,Williams-Collins School,Michelleshire,East Carrie County,Kenya,Idaho,West,K-12
Debra Nguyen,Cape Verde,Ed.D.,Asian,Non-binary,English,HR Manager,Senior,NAIS,Jewish,9 years,1994,Kim-Brown School,Gibsonport,North Oliviahaven County,Chile,South Carolina,Northeast,High
Alexandria Jones,Sierra Leone,MBA,Native American,Female,"Hindi, Arabic, Mandarin",Learning Director,Junior,ACSD,Muslim,28 years,2005,Walker-Johnson School,Wintersberg,Lake Ericborough County,Samoa,Iowa,Northeast,High
Heidi King,Saint Pierre and Miquelon,M.A.,White,Male,"Spanish, Mandarin",Principal,Senior,NAIS,Christian,13 years,2001,Short Inc School,Millerfort,Codyland County,Liberia,Washington,Northeast,Middle
Taylor Diaz,Montenegro,Ed.D.,White,Female,Spanish,HR Manager,Junior,ACSD,Jewish,17 years,1999,Perry-Gomez School,Maryland,North Kylie County,United Arab Emirates,Utah,West,Middle
Susan Rodriguez,Jersey,B.S.,Black,Female,"Spanish, Mandarin, English",Academic Dean,Junior,"NACAC, NAIS",Jewish,27 years,2012,Mendoza and Sons School,Charlesview,Vickiview County,Chile,Texas,South,Middle
Abigail Kramer,Iran,MBA,Other,Non-binary,French,Athletic Director,Mid,"NACAC, ASCD",Jewish,2 years,2001,"Morgan, Smith and Aguilar School",Ruthbury,West Stephaniemouth County,Barbados,Texas,Northeast,K-12
Amy Martinez,Costa Rica,MBA,Other,Female,"Spanish, Mandarin",HR Manager,Senior,NAIS,Jewish,17 years,2020,Ellis Ltd School,Port Jessicaport,Port Ryanshire County,Antigua and Barbuda,New Jersey,West,Elementary
Haley Austin,Solomon Islands,M.A.,Black,Non-binary,"Hindi, English",Principal,Junior,NAIS,Jewish,3 years,1994,Foster-Jones School,Murphychester,Cabreraburgh County,Jordan,Vermont,Midwest,Elementary
David Nelson,Mozambique,M.A.,Black,Female,Spanish,HR Manager,Senior,"NACAC, NAIS",Christian,11 years,2015,"Fernandez, Guerrero and Park School",Hillview,Kimchester County,Russian Federation,Nebraska,Midwest,Elementary
Jeff Hernandez,Saint Helena,M.A.,Other,Male,Spanish,HR Manager,Junior,ASCD,Muslim,1 years,1997,"Hudson, Zamora and Sandoval School",West Jesse,Dianamouth County,Djibouti,Washington,West,Elementary
Robert Young,Sweden,M.S.,Black,Male,German,Learning Director,Senior,"ASCD, NACAC",Muslim,27 years,2014,Williams PLC School,Rachelmouth,North Samantha County,Burundi,New York,Midwest,Middle
Steven Logan,Nigeria,B.S.,Native American,Male,"Spanish, French, French",Learning Director,Junior,"ASCD, ACSD",Hindu,13 years,1993,Cardenas-Allison School,Calebfurt,Meganfort County,Palau,North Dakota,South,K-12
April Kim,Tanzania,M.S.,Other,Non-binary,"German, English",Learning Director,Mid,"ACSD, ASCD",Other,26 years,2014,Smith-King School,Lake Josephchester,North Paulport County,French Southern Territories,Montana,South,Middle
Jason Smith,Namibia,B.S.,Other,Female,"French, English, German",Athletic Director,Senior,"ASCD, ACSD",Jewish,6 years,2016,Ruiz-Burgess School,New Hayleyfort,East Sharonton County,Lebanon,Kentucky,West,High
Amy Crawford,Egypt,Ed.D.,Other,Male,"Arabic, English, French",Principal,Junior,NACAC,Other,1 years,2006,Hill-Braun School,New Corey,Lamport County,Denmark,West Virginia,South,Elementary
Nicole Randolph,Georgia,Ph.D.,Black,Non-binary,"English, Hindi, English",HR Manager,Senior,"ASCD, NACAC",Christian,5 years,2021,"Carrillo, Hicks and Meza School",Jenniferchester,Port Margaretfurt County,Slovakia (Slovak Republic),Virginia,Midwest,Middle
Jill Barnes,Albania,Ed.D.,White,Male,English,HR Manager,Junior,"NACAC, ASCD",Other,4 years,1986,"Gordon, Romero and Snyder School",New Rubenton,Karenville County,Niue,Michigan,Midwest,Middle
Robin Rodriguez,Montenegro,B.S.,Other,Male,German,HR Manager,Senior,"NACAC, NAIS",Other,14 years,2010,"Mendez, Ponce and Caldwell School",Jonesview,East Laura County,Samoa,Arizona,South,K-12
Dylan Mcfarland,Monaco,M.S.,Hispanic,Female,"Arabic, Mandarin, Arabic",HR Manager,Junior,NACAC,Christian,4 years,1989,"Hamilton, Roach and Richard School",Ochoahaven,South Kimberly County,Chile,Missouri,West,Elementary
Shane Farmer,Dominica,MBA,Black,Male,"English, German",Academic Dean,Junior,ASCD,Other,21 years,1981,"Harrison, Parker and Cummings School",Jessicastad,Watersfurt County,Togo,Indiana,West,K-12
David Peterson,Namibia,Ed.D.,Asian,Female,German,Learning Director,Mid,"NAIS, ACSD",Jewish,2 years,2011,"Martinez, Kelley and Miller School",East Katrina,Craigberg County,Greece,Utah,Northeast,High
Joshua Bullock,Croatia,MBA,Hispanic,Male,"Spanish, German",Learning Director,Junior,NACAC,Other,17 years,2015,Henry LLC School,Amberburgh,Port Michaelside County,Lao People's Democratic Republic,Maryland,Northeast,Elementary
Sandra Merritt,Congo,M.A.,Asian,Female,Spanish,Principal,Junior,"ASCD, NAIS",Muslim,19 years,2024,Cohen-Cunningham School,New Susan,Baileystad County,Comoros,California,South,Middle
Mr. Edward Nelson MD,Nicaragua,Ed.D.,Other,Male,Mandarin,Learning Director,Junior,ASCD,Hindu,4 years,1989,"Johnson, Robinson and Maldonado School",New Thomas,Lake Ellenhaven County,Brunei Darussalam,Wyoming,Northeast,Middle
Stephen Chavez,Tanzania,B.S.,White,Male,"Mandarin, Mandarin, Hindi",Learning Director,Mid,"NAIS, ACSD",Other,21 years,2007,"Williams, Harrison and Perez School",Lake Kennethborough,Port Jeffrey County,Philippines,New York,West,Middle
Emily Robertson,Trinidad and Tobago,M.A.,Asian,Non-binary,"Mandarin, Mandarin",HR Manager,Junior,"NACAC, ASCD",Jewish,28 years,1999,"Hays, Holland and Morris School",West Jamesland,North Keith County,Mali,New York,Northeast,Elementary
Larry Case,Congo,Ed.D.,Other,Male,"Hindi, English, English",Learning Director,Mid,ACSD,Other,5 years,1981,Short-Hampton School,Isaiahbury,New Sarahville County,Montenegro,Connecticut,Northeast,Elementary
